# Office 英語 瞬間想起 基本動詞 1-50
# 単語 | 発音 | 意味
discuss | ディスカス | 議論する
explain | エクスプレイン | 説明する
confirm | コンファーム | 確認する
decide | ディサイド | 決定する
agree | アグリー | 同意する
propose | プロポーズ | 提案する
suggest | サジェスト | 提案する
request | リクエスト | 依頼する
ask | アスク | 尋ねる
answer | アンサー | 回答する
reply | リプライ | 返信する
inform | インフォーム | 知らせる
share | シェア | 共有する
report | リポート | 報告する
update | アップデート | 更新する
review | レビュー | 見直す
check | チェック | 確認する
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
prepare | プリペア | 準備する
schedule | スケジュール | 予定を組む
arrange | アレンジ | 調整する
organize | オーガナイズ | 整理する
manage | マネージ | 管理する
handle | ハンドル | 対応する
support | サポート | 支援する
assist | アシスト | 手伝う
coordinate | コーディネート | 調整する
follow | フォロー | 追跡する
contact | コンタクト | 連絡する
call | コール | 電話する
email | イーメイル | メールする
notify | ノーティファイ | 通知する
explain | エクスプレイン | 説明する
clarify | クラリファイ | 明確にする
confirm | コンファーム | 再確認する
verify | ベリファイ | 検証する
compare | コンペア | 比較する
analyze | アナライズ | 分析する
consider | コンシダー | 検討する
evaluate | エバリュエイト | 評価する
decide | ディサイド | 決める
finalize | ファイナライズ | 最終決定する
proceed | プロシード | 進める
delay | ディレイ | 遅らせる
complete | コンプリート | 完了する
finish | フィニッシュ | 終える
submit | サブミット | 提出する
# Office 英語 会議・メール動詞 51-100
# 単語 | 発音 | 意味

attach | アタッチ | 添付する
forward | フォワード | 転送する
copy | コピー | 複写する
schedule | スケジュール | 予定を入れる
reschedule | リスケジュール | 再調整する
cancel | キャンセル | 中止する
postpone | ポストポーン | 延期する
discuss | ディスカス | 話し合う
summarize | サマライズ | 要約する
highlight | ハイライト | 強調する
point | ポイント | 指摘する
mention | メンション | 言及する
refer | リファー | 参照する
quote | クオート | 引用する
confirm | コンファーム | 確認する
agree | アグリー | 合意する
disagree | ディスアグリー | 反対する
negotiate | ネゴシエイト | 交渉する
adjust | アジャスト | 調整する
align | アライン | 整合させる
prioritize | プライオリタイズ | 優先する
assign | アサイン | 割り当てる
delegate | デリゲート | 委任する
follow up | フォローアップ | 追跡する
track | トラック | 追う
monitor | モニター | 監視する
review | レビュー | 再確認する
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
escalate | エスカレート | 上申する
resolve | リゾルブ | 解決する
handle | ハンドル | 対処する
support | サポート | 支援する
request | リクエスト | 依頼する
respond | レスポンド | 応答する
reply | リプライ | 返信する
confirm | コンファーム | 確定する
finalize | ファイナライズ | 仕上げる
deliver | デリバー | 提供する
share | シェア | 共有する
present | プレゼント | 提示する
explain | エクスプレイン | 説明する
justify | ジャスティファイ | 正当化する
agree on | アグリーオン | 合意する
decide on | ディサイドオン | 決める
move forward | ムーブフォワード | 前進する
wrap up | ラップアップ | まとめる
# Office 英語 実務頻出動詞 101-150
# 単語 | 発音 | 意味

launch | ローンチ | 開始する
implement | インプリメント | 実行する
execute | エグゼキュート | 実行する
deploy | デプロイ | 展開する
maintain | メンテイン | 維持する
improve | インプルーブ | 改善する
optimize | オプティマイズ | 最適化する
reduce | リデュース | 減らす
increase | インクリース | 増やす
expand | エクスパンド | 拡大する
scale | スケール | 拡張する
estimate | エスティメイト | 見積もる
calculate | カルキュレート | 計算する
budget | バジェット | 予算を組む
cost | コスト | 費用がかかる
charge | チャージ | 請求する
invoice | インボイス | 請求書を出す
purchase | パーチェス | 購入する
order | オーダー | 発注する
deliver | デリバー | 納品する
ship | シップ | 出荷する
delay | ディレイ | 遅れる
fix | フィックス | 修正する
resolve | リゾルブ | 解決する
prevent | プリベント | 防ぐ
avoid | アボイド | 避ける
comply | コンプライ | 従う
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
authorize | オーソライズ | 権限付与する
secure | セキュア | 確保する
protect | プロテクト | 保護する
risk | リスク | 危険を冒す
impact | インパクト | 影響を与える
affect | アフェクト | 影響する
depend | ディペンド | 依存する
require | リクワイア | 必要とする
expect | エクスペクト | 期待する
allow | アラウ | 許可する
restrict | リストリクト | 制限する
decide | ディサイド | 決める
finalize | ファイナライズ | 確定する
complete | コンプリート | 完了する
report | リポート | 報告する
document | ドキュメント | 文書化する
archive | アーカイブ | 保存する
review | レビュー | 見直す
audit | オーディット | 監査する
